"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013/2014","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2337","","","","0"
"2014/2015","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2352","","","","0"
"2015/2016","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2307","","","","0"
"2016/2017","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2316","","","","0"
"2002/2003","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2112","","","","0"
"2003/2004","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2064","","","","0"
"2004/2005","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2028","","","","0"
"2005/2006","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1986","","","","0"
"2006/2007","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1995","","","","0"
"2007/2008","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1998","","","","0"
"2008/2009","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2031","","","","0"
"2009/2010","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2004","","","","0"
"2010/2011","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1950","","","","0"
"2011/2012","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1899","","","","0"
"2012/2013","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1815","","","","0"
"2013/2014","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1629","","","","0"
"2014/2015","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1596","","","","0"
"2015/2016","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1617","","","","0"
"2016/2017","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1749","","","","0"
"2002/2003","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","27975","","","","0"
"2003/2004","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","27429","","","","0"
"2004/2005","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","26880","","","","0"
"2005/2006","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","26469","","","","0"
"2006/2007","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","27051","","","","0"
"2007/2008","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","26790","","","","0"
"2008/2009","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","26439","","","","0"
"2009/2010","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","26361","","","","0"
"2010/2011","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","25878","","","","0"
"2011/2012","Quebec","2016A000224","All educators","All ages","Males","Number","223","units","0","v65933473","6.1.1.2","25386","","","","0"
