artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,release_year,release_date_length
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,5xS9hkTGfxqXyxX6wWWTt4,1993-11-16,0.451,0.669,10.0,-9.033,1.0,0.0651,0.0267,0.0,0.153,0.523,169.632,audio_features,spotify:track:5xS9hkTGfxqXyxX6wWWTt4,https://api.spotify.com/v1/tracks/5xS9hkTGfxqXyxX6wWWTt4,https://api.spotify.com/v1/audio-analysis/5xS9hkTGfxqXyxX6wWWTt4,272133.0,4.0,1993,10.0
SWV,Anything,3ZbrIs9xvGTLtHDcOel91B,2001,0.798,0.794,1.0,-5.637,1.0,0.044,0.0119,0.000139,0.271,0.781,94.967,audio_features,spotify:track:3ZbrIs9xvGTLtHDcOel91B,https://api.spotify.com/v1/tracks/3ZbrIs9xvGTLtHDcOel91B,https://api.spotify.com/v1/audio-analysis/3ZbrIs9xvGTLtHDcOel91B,246320.0,4.0,2001,4.0
Joshua Kadison,Beautiful In My Eyes,5o8gWPZxr4GZFslU85YMmu,1993-01-01,0.582,0.381,3.0,-10.045,1.0,0.0256,0.595,1.1e-05,0.132,0.283,141.947,audio_features,spotify:track:5o8gWPZxr4GZFslU85YMmu,https://api.spotify.com/v1/tracks/5o8gWPZxr4GZFslU85YMmu,https://api.spotify.com/v1/audio-analysis/5o8gWPZxr4GZFslU85YMmu,249493.0,4.0,1993,10.0
Eternal,Stay,3DCAjSZiLK127tGL0URVGE,1993-11-29,0.591,0.727,10.0,-8.058,0.0,0.054,0.00411,1.53e-06,0.0289,0.846,98.528,audio_features,spotify:track:3DCAjSZiLK127tGL0URVGE,https://api.spotify.com/v1/tracks/3DCAjSZiLK127tGL0URVGE,https://api.spotify.com/v1/audio-analysis/3DCAjSZiLK127tGL0URVGE,237533.0,4.0,1993,10.0
Craig Mack,Flava in Ya Ear,3X414ZlCf5U7pcpIaIcUkT,1994-01-01,0.763,0.541,9.0,-8.843,0.0,0.329,0.466,0.0,0.0693,0.885,90.032,audio_features,spotify:track:3X414ZlCf5U7pcpIaIcUkT,https://api.spotify.com/v1/tracks/3X414ZlCf5U7pcpIaIcUkT,https://api.spotify.com/v1/audio-analysis/3X414ZlCf5U7pcpIaIcUkT,217467.0,4.0,1994,10.0
Queen Latifah,U.N.I.T.Y.,6IA63Wf2Onw1kq9ur1ygFi,2002-01-01,0.659,0.738,4.0,-4.077,0.0,0.362,0.00561,0.0,0.319,0.516,93.796,audio_features,spotify:track:6IA63Wf2Onw1kq9ur1ygFi,https://api.spotify.com/v1/tracks/6IA63Wf2Onw1kq9ur1ygFi,https://api.spotify.com/v1/audio-analysis/6IA63Wf2Onw1kq9ur1ygFi,251907.0,4.0,2002,10.0
Seal,Prayer for the Dying,7pzWp50ZQXM44dfDbyMY9l,1994-05-31,0.306,0.763,5.0,-7.518,1.0,0.051,0.335,0.00593,0.0835,0.147,99.904,audio_features,spotify:track:7pzWp50ZQXM44dfDbyMY9l,https://api.spotify.com/v1/tracks/7pzWp50ZQXM44dfDbyMY9l,https://api.spotify.com/v1/audio-analysis/7pzWp50ZQXM44dfDbyMY9l,330267.0,4.0,1994,10.0
Madonna,Secret,15FcP9qwmIKqaD5NhfhNpu,1994-10-25,0.813,0.655,1.0,-7.884,1.0,0.0262,0.101,6.65e-05,0.146,0.46,99.982,audio_features,spotify:track:15FcP9qwmIKqaD5NhfhNpu,https://api.spotify.com/v1/tracks/15FcP9qwmIKqaD5NhfhNpu,https://api.spotify.com/v1/audio-analysis/15FcP9qwmIKqaD5NhfhNpu,304933.0,4.0,1994,10.0
Ini Kamoze,Here Comes the Hotstepper,4vfzROmNsxedKICcHod5Rh,2001-01-01,0.852,0.537,7.0,-7.424,1.0,0.114,0.0328,0.000248,0.229,0.483,100.369,audio_features,spotify:track:4vfzROmNsxedKICcHod5Rh,https://api.spotify.com/v1/tracks/4vfzROmNsxedKICcHod5Rh,https://api.spotify.com/v1/audio-analysis/4vfzROmNsxedKICcHod5Rh,244813.0,4.0,2001,10.0
Phil Collins,Everyday - 2015 Remastered,1TuC2upbvZ6Ae0VE4kj8dT,1993-10-19,0.701,0.469,3.0,-9.63,1.0,0.0305,0.534,0.00105,0.121,0.384,94.699,audio_features,spotify:track:1TuC2upbvZ6Ae0VE4kj8dT,https://api.spotify.com/v1/tracks/1TuC2upbvZ6Ae0VE4kj8dT,https://api.spotify.com/v1/audio-analysis/1TuC2upbvZ6Ae0VE4kj8dT,343893.0,4.0,1993,10.0
Tim McGraw,Don't Take The Girl,2wmEryA2YLaFwFvA63n3O2,1994-03-22,0.439,0.454,0.0,-8.669,1.0,0.0308,0.279,0.0,0.123,0.354,204.263,audio_features,spotify:track:2wmEryA2YLaFwFvA63n3O2,https://api.spotify.com/v1/tracks/2wmEryA2YLaFwFvA63n3O2,https://api.spotify.com/v1/audio-analysis/2wmEryA2YLaFwFvA63n3O2,249360.0,4.0,1994,10.0
Heavy D & The Boyz,Got Me Waiting,4yW29zSXMvOMtj2aDiqUOI,1994-05-25,0.781,0.293,11.0,-15.968,0.0,0.32,0.0151,5.36e-05,0.142,0.532,90.212,audio_features,spotify:track:4yW29zSXMvOMtj2aDiqUOI,https://api.spotify.com/v1/tracks/4yW29zSXMvOMtj2aDiqUOI,https://api.spotify.com/v1/audio-analysis/4yW29zSXMvOMtj2aDiqUOI,271467.0,4.0,1994,10.0
Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",7ePFDzrnLt3Ynqgy2UFWri,2003-01-14,0.727,0.588,1.0,-9.568,1.0,0.0253,0.058,5.46e-06,0.0414,0.964,104.413,audio_features,spotify:track:7ePFDzrnLt3Ynqgy2UFWri,https://api.spotify.com/v1/tracks/7ePFDzrnLt3Ynqgy2UFWri,https://api.spotify.com/v1/audio-analysis/7ePFDzrnLt3Ynqgy2UFWri,201093.0,4.0,2003,10.0
Tim McGraw,Indian Outlaw,1fYypIR0kaFzaSRbzvtjl9,1994-03-22,0.664,0.739,9.0,-7.229,1.0,0.0415,0.0364,4.99e-05,0.282,0.759,110.101,audio_features,spotify:track:1fYypIR0kaFzaSRbzvtjl9,https://api.spotify.com/v1/tracks/1fYypIR0kaFzaSRbzvtjl9,https://api.spotify.com/v1/audio-analysis/1fYypIR0kaFzaSRbzvtjl9,182120.0,4.0,1994,10.0
Bon Jovi,Always,0kish3Tobj6Wq0we74343q,1994-01-01,0.377,0.658,4.0,-5.589,1.0,0.0318,0.117,0.0,0.0677,0.307,143.713,audio_features,spotify:track:0kish3Tobj6Wq0we74343q,https://api.spotify.com/v1/tracks/0kish3Tobj6Wq0we74343q,https://api.spotify.com/v1/audio-analysis/0kish3Tobj6Wq0we74343q,353320.0,4.0,1994,10.0
Melissa Etheridge,I'm The Only One,6ZOmAnwsXMxuwJRVWS3vrG,1993-01-01,0.613,0.476,0.0,-9.648,1.0,0.0321,0.0448,0.0,0.0608,0.644,84.938,audio_features,spotify:track:6ZOmAnwsXMxuwJRVWS3vrG,https://api.spotify.com/v1/tracks/6ZOmAnwsXMxuwJRVWS3vrG,https://api.spotify.com/v1/audio-analysis/6ZOmAnwsXMxuwJRVWS3vrG,295000.0,4.0,1993,10.0
Ahmad Lewis,Back in the Day,32nmZgbpSPeQA76TO62TP7,1994-05-20,0.696,0.678,1.0,-7.237,0.0,0.193,0.0629,0.0279,0.862,0.922,157.651,audio_features,spotify:track:32nmZgbpSPeQA76TO62TP7,https://api.spotify.com/v1/tracks/32nmZgbpSPeQA76TO62TP7,https://api.spotify.com/v1/audio-analysis/32nmZgbpSPeQA76TO62TP7,318360.0,4.0,1994,10.0
